,adhyaya,pada,sutra num,sutra
94,1.0,1.2,1.2.20,मृषस्तितिक्षायाम्
95,1.0,1.2,1.2.21,उदुपधाद्भावादिकर्मणोरन्यतरस्याम्
96,1.0,1.2,1.2.22,पूङः क्त्वा च
97,1.0,1.2,1.2.23,नोपधात्थफान्ताद्वा
98,1.0,1.2,1.2.24,वञ्चिलुञ्च्यृतश्च
99,1.0,1.2,1.2.25,तृषिमृषिकृशेः काश्यपस्य
100,1.0,1.2,1.2.26,रलो व्युपधाद्धलादेः संश्च
101,1.0,1.2,1.2.27,ऊकालोऽज्झ्रस्वदीर्घप्लुतः
102,1.0,1.2,1.2.28,अचश्च
103,1.0,1.2,1.2.29,उच्चैरुदात्तः
104,1.0,1.2,1.2.30,नीचैरनुदात्तः
105,1.0,1.2,1.2.31,समाहारः स्वरितः
106,1.0,1.2,1.2.32,तस्यादित उदात्तमर्धह्रस्वम्
107,1.0,1.2,1.2.33,एकश्रुति दूरात् सम्बुद्धौ
108,1.0,1.2,1.2.34,यज्ञकर्मण्यजपन्यूङ्खसामसु
109,1.0,1.2,1.2.35,उच्चैस्तरां वा वषट्कारः
110,1.0,1.2,1.2.36,विभाषा छन्दसि
111,1.0,1.2,1.2.37,न सुब्रह्मण्यायां स्वरितस्य तूदात्तः
112,1.0,1.2,1.2.38,देवब्रह्मणोरनुदात्तः
113,1.0,1.2,1.2.39,स्वरितात् संहितायामनुदात्तानाम्
114,1.0,1.2,1.2.40,उदात्तस्वरितपरस्य सन्नतरः
115,1.0,1.2,1.2.41,अपृक्त एकाल् प्रत्ययः
116,1.0,1.2,1.2.42,तत्पुरुषः समानाधिकरणः कर्मधारयः
117,1.0,1.2,1.2.43,प्रथमानिर्दिष्टं समास उपसर्जनम्
118,1.0,1.2,1.2.44,एकविभक्ति चापूर्वनिपाते
119,1.0,1.2,1.2.45,अर्थवदधातुरप्रत्ययः प्रातिपदिकम्
120,1.0,1.2,1.2.46,कृत्तद्धितसमासाश्च
121,1.0,1.2,1.2.47,ह्रस्वो नपुंसके प्रातिपदिकस्य
122,1.0,1.2,1.2.48,गोस्त्रियोरुपसर्ज्जनस्य
123,1.0,1.2,1.2.49,लुक् तद्धितलुकि
124,1.0,1.2,1.2.50,इद्गोण्याः
125,1.0,1.2,1.2.51,लुपि युक्तवद्व्यक्तिवचने
126,1.0,1.2,1.2.52,विशेषणानां चाजातेः
127,1.0,1.2,1.2.53,तदशिष्यं संज्ञाप्रमाणत्वात्
128,1.0,1.2,1.2.54,लुब्योगाप्रख्यानात्
129,1.0,1.2,1.2.55,योगप्रमाणे च तदभावेऽदर्शनं स्यात्
130,1.0,1.2,1.2.56,प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात्
131,1.0,1.2,1.2.57,कालोपसर्जने च तुल्यम्
132,1.0,1.2,1.2.58,जात्याख्यायामेकस्मिन् बहुवचनमन्यतरस्याम्
133,1.0,1.2,1.2.59,अस्मदो द्वायोश्च
134,1.0,1.2,1.2.60,फल्गुनीप्रोष्ठपदानां च नक्षत्रे
135,1.0,1.2,1.2.61,छन्दसि पुनर्वस्वोरेकवचनम्
136,1.0,1.2,1.2.62,विशाखयोश्च
137,1.0,1.2,1.2.63,तिष्यपुनर्वस्वोर्नक्षत्रद्वंद्वे बहुवचनस्य
138,1.0,1.2,1.2.64,सरूपाणामेकशेष एकविभक्तौ
139,1.0,1.2,1.2.65,वृद्धो यूना तल्लक्षणश्चेदेव विशेषः
140,1.0,1.2,1.2.66,स्त्री पुंवच्च
141,1.0,1.2,1.2.67,पुमान् स्त्रिया
142,1.0,1.2,1.2.68,भ्रातृपुत्रौ स्वसृदुहितृभ्याम्
143,1.0,1.2,1.2.69,नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम्
144,1.0,1.2,1.2.70,पिता मात्रा
145,1.0,1.2,1.2.71,श्वशुरः श्वश्र्वा
146,1.0,1.2,1.2.72,त्यदादीनि सर्वैर्नित्यम्
147,1.0,1.2,1.2.73,ग्राम्यपशुसंघेषु अतरुणेषु स्त्री
148,1.0,1.3,1.3.1,भूवादयो धातवः
149,1.0,1.3,1.3.2,उपदेशेऽजनुनासिक इत्
150,1.0,1.3,1.3.3,हलन्त्यम्
151,1.0,1.3,1.3.4,न विभक्तौ तुस्माः
152,1.0,1.3,1.3.5,आदिर्ञिटुडवः
153,1.0,1.3,1.3.6,षः प्रत्ययस्य
154,1.0,1.3,1.3.7,चुटू
155,1.0,1.3,1.3.8,लशक्वतद्धिते
156,1.0,1.3,1.3.9,तस्य लोपः
157,1.0,1.3,1.3.10,यथासंख्यमनुदेशः समानाम्
158,1.0,1.3,1.3.11,स्वरितेनाधिकारः
159,1.0,1.3,1.3.12,अनुदात्तङित आत्मनेपदम्
160,1.0,1.3,1.3.13,भावकर्म्मणोः
161,1.0,1.3,1.3.14,कर्त्तरि कर्म्मव्यतिहारे
162,1.0,1.3,1.3.15,न गतिहिंसार्थेभ्यः
163,1.0,1.3,1.3.16,इतरेतरान्योन्योपपदाच्च
164,1.0,1.3,1.3.17,नेर्विशः
165,1.0,1.3,1.3.18,परिव्यवेभ्यः क्रियः
166,1.0,1.3,1.3.19,विपराभ्यां जेः
167,1.0,1.3,1.3.20,आङो दोऽनास्यविहरणे
168,1.0,1.3,1.3.21,क्रीडोऽनुसम्परिभ्यश्च
169,1.0,1.3,1.3.22,समवप्रविभ्यः स्थः
170,1.0,1.3,1.3.23,प्रकाशनस्थेयाख्ययोश्च
171,1.0,1.3,1.3.24,उदोऽनूर्द्ध्वकर्मणि
172,1.0,1.3,1.3.25,उपान्मन्त्रकरणे
173,1.0,1.3,1.3.26,अकर्मकाच्च
174,1.0,1.3,1.3.27,उद्विभ्यां तपः
175,1.0,1.3,1.3.28,आङो यमहनः
176,1.0,1.3,1.3.29,समो गम्यृच्छिप्रच्छिस्वरत्यर्तिश्रुविदिभ्यः
177,1.0,1.3,1.3.30,निसमुपविभ्यो ह्वः
178,1.0,1.3,1.3.31,स्पर्द्धायामाङः
179,1.0,1.3,1.3.32,गन्धनावक्षेपणसेवनसाहसिक्यप्रतियत्नप्रकथनोपयोगेषु कृञः
180,1.0,1.3,1.3.33,अधेः प्रसहने
181,1.0,1.3,1.3.34,वेः शब्दकर्म्मणः
182,1.0,1.3,1.3.35,अकर्मकाच्च
183,1.0,1.3,1.3.36,सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु नियः
184,1.0,1.3,1.3.37,कर्तृस्थे चाशरीरे कर्मणि
185,1.0,1.3,1.3.38,वृत्तिसर्गतायनेषु क्रमः
186,1.0,1.3,1.3.39,उपपराभ्याम्
187,1.0,1.3,1.3.40,आङ उद्गमने
188,1.0,1.3,1.3.41,वेः पादविहरणे
189,1.0,1.3,1.3.42,प्रोपाभ्यां समर्थाभ्याम्
190,1.0,1.3,1.3.43,अनुपसर्गाद्वा
191,1.0,1.3,1.3.44,अपह्नवे ज्ञः
192,1.0,1.3,1.3.45,अकर्मकाच्च
193,1.0,1.3,1.3.46,सम्प्रतिभ्यामनाध्याने
194,1.0,1.3,1.3.47,भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु वदः
195,1.0,1.3,1.3.48,व्यक्तवाचां समुच्चारणे
196,1.0,1.3,1.3.49,अनोरकर्मकात्
197,1.0,1.3,1.3.50,विभाषा विप्रलापे
198,1.0,1.3,1.3.51,अवाद्ग्रः
199,1.0,1.3,1.3.52,समः प्रतिज्ञाने
200,1.0,1.3,1.3.53,उदश्चरः सकर्मकात्
201,1.0,1.3,1.3.54,समस्तृतीयायुक्तात्
202,1.0,1.3,1.3.55,दाणश्च सा चेच्चतुर्थ्यर्थे
203,1.0,1.3,1.3.56,उपाद्यमः स्वकरणे
204,1.0,1.3,1.3.57,ज्ञाश्रुस्मृदृशां सनः
205,1.0,1.3,1.3.58,नानोर्ज्ञः
206,1.0,1.3,1.3.59,प्रत्याङ्भ्यां श्रुवः
207,1.0,1.3,1.3.60,शदेः शितः
208,1.0,1.3,1.3.61,म्रियतेर्लुङ्‌लिङोश्च
209,1.0,1.3,1.3.62,पूर्ववत् सनः
210,1.0,1.3,1.3.63,आम्प्रत्ययवत् कृञोऽनुप्रयोगस्य
211,1.0,1.3,1.3.64,प्रोपाभ्यां युजेरयज्ञपात्रेषु
212,1.0,1.3,1.3.65,समः क्ष्णुवः
213,1.0,1.3,1.3.66,भुजोऽनवने
214,1.0,1.3,1.3.67,णेरणौ यत् कर्म णौ चेत् स कर्ताऽनाध्याने
215,1.0,1.3,1.3.68,भीस्म्योर्हेतुभये
216,1.0,1.3,1.3.69,गृधिवञ्च्योः प्रलम्भने
217,1.0,1.3,1.3.70,लियः सम्माननशालिनीकरणयोश्च
218,1.0,1.3,1.3.71,मिथ्योपपदात् कृञोऽभ्यासे
219,1.0,1.3,1.3.72,स्वरितञितः कर्त्रभिप्राये क्रियाफले
220,1.0,1.3,1.3.73,अपाद्वदः
221,1.0,1.3,1.3.74,णिचश्च
222,1.0,1.3,1.3.75,समुदाङ्भ्यो यमोऽग्रन्थे
223,1.0,1.3,1.3.76,अनुपसर्गाज्ज्ञः
224,1.0,1.3,1.3.77,विभाषोपपदेन प्रतीयमाने
225,1.0,1.3,1.3.78,शेषात् कर्तरि परस्मैपदम्
226,1.0,1.3,1.3.79,अनुपराभ्यां कृञः
227,1.0,1.3,1.3.80,अभिप्रत्यतिभ्यः क्षिपः
228,1.0,1.3,1.3.81,प्राद्वहः
229,1.0,1.3,1.3.82,परेर्मृषः
230,1.0,1.3,1.3.83,व्याङ्परिभ्यो रमः
231,1.0,1.3,1.3.84,उपाच्च
232,1.0,1.3,1.3.85,विभाषाऽकर्मकात्
233,1.0,1.3,1.3.86,बुधयुधनशजनेङ्प्रुद्रुस्रुभ्यो णेः
234,1.0,1.3,1.3.87,निगरणचलनार्थेभ्यः
235,1.0,1.3,1.3.88,अणावकर्मकाच्चित्तवत्कर्तृकात्
236,1.0,1.3,1.3.89,न पादम्याङ्यमाङ्यसपरिमुहरुचिनृतिवदवसः
237,1.0,1.3,1.3.90,वा क्यषः
238,1.0,1.3,1.3.91,द्युद्भ्यो लुङि
239,1.0,1.3,1.3.92,वृद्भ्यः स्यसनोः
240,1.0,1.3,1.3.93,लुटि च कॢपः
241,1.0,1.4,1.4.1,आ कडारादेका संज्ञा
242,1.0,1.4,1.4.2,विप्रतिषेधे परं कार्यम्
243,1.0,1.4,1.4.3,यू स्त्र्याख्यौ नदी
244,1.0,1.4,1.4.4,नेयङुवङ्स्थानावस्त्री
245,1.0,1.4,1.4.5,वाऽऽमि
246,1.0,1.4,1.4.6,ङिति ह्रस्वश्च
247,1.0,1.4,1.4.7,शेषो घ्यसखि
248,1.0,1.4,1.4.8,पतिः समास एव
249,1.0,1.4,1.4.9,षष्ठीयुक्तश्छन्दसि वा
250,1.0,1.4,1.4.10,ह्रस्वं लघु
251,1.0,1.4,1.4.11,संयोगे गुरु
252,1.0,1.4,1.4.12,दीर्घं च
253,1.0,1.4,1.4.13,यस्मात् प्रत्ययविधिस्तदादि प्रत्ययेऽङ्गम्
254,1.0,1.4,1.4.14,सुप्तिङन्तं पदम्
255,1.0,1.4,1.4.15,नः क्ये
256,1.0,1.4,1.4.16,सिति च
257,1.0,1.4,1.4.17,स्वादिष्वसर्वनामस्थाने
258,1.0,1.4,1.4.18,यचि भम्
259,1.0,1.4,1.4.19,तसौ मत्वर्थे
260,1.0,1.4,1.4.20,अयस्मयादीनि च्छन्दसि
261,1.0,1.4,1.4.21,बहुषु बहुवचनम्
262,1.0,1.4,1.4.22,द्व्येकयोर्द्विवचनैकवचने
263,1.0,1.4,1.4.23,कारके
264,1.0,1.4,1.4.24,ध्रुवमपायेऽपादानम्
265,1.0,1.4,1.4.25,भीत्रार्थानां भयहेतुः
266,1.0,1.4,1.4.26,पराजेरसोढः
267,1.0,1.4,1.4.27,वारणार्थानां ईप्सितः
268,1.0,1.4,1.4.28,अन्तर्द्धौ येनादर्शनमिच्छति
269,1.0,1.4,1.4.29,आख्यातोपयोगे
270,1.0,1.4,1.4.30,जनिकर्तुः प्रकृतिः
271,1.0,1.4,1.4.31,भुवः प्रभवः
272,1.0,1.4,1.4.32,कर्मणा यमभिप्रैति स सम्प्रदानम्
273,1.0,1.4,1.4.33,रुच्यर्थानां प्रीयमाणः
274,1.0,1.4,1.4.34,श्लाघह्नुङ्स्थाशपां ज्ञीप्स्यमानः
275,1.0,1.4,1.4.35,धारेरुत्तमर्णः
276,1.0,1.4,1.4.36,स्पृहेरीप्सितः
277,1.0,1.4,1.4.37,क्रुधद्रुहेर्ष्याऽसूयार्थानां यं प्रति कोपः
278,1.0,1.4,1.4.38,क्रुधद्रुहोरुपसृष्टयोः कर्म
279,1.0,1.4,1.4.39,राधीक्ष्योर्यस्य विप्रश्नः
280,1.0,1.4,1.4.40,प्रत्याङ्भ्यां श्रुवः पूर्वस्य कर्ता
281,1.0,1.4,1.4.41,अनुप्रतिगृणश्च
282,1.0,1.4,1.4.42,साधकतमं करणम्
283,1.0,1.4,1.4.43,दिवः कर्म च
284,1.0,1.4,1.4.44,परिक्रयणे सम्प्रदानमन्यतरस्याम्
285,1.0,1.4,1.4.45,आधारोऽधिकरणम्
286,1.0,1.4,1.4.46,अधिशीङ्स्थाऽऽसां कर्म
287,1.0,1.4,1.4.47,अभिनिविशश्च
288,1.0,1.4,1.4.48,उपान्वध्याङ्वसः
289,1.0,1.4,1.4.49,कर्तुरीप्सिततमं कर्म
290,1.0,1.4,1.4.50,तथायुक्तं चानिप्सीतम्
291,1.0,1.4,1.4.51,अकथितं च
292,1.0,1.4,1.4.52,गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणामणि कर्ता
293,1.0,1.4,1.4.53,हृक्रोरन्यतरस्याम्
294,1.0,1.4,1.4.54,स्वतन्त्रः कर्ता
295,1.0,1.4,1.4.55,तत्प्रयोजको हेतुश्च
296,1.0,1.4,1.4.56,प्राग्रीश्वरान्निपाताः
297,1.0,1.4,1.4.57,चादयोऽसत्त्वे
298,1.0,1.4,1.4.58,प्रादयः
299,1.0,1.4,1.4.59,उपसर्गाः क्रियायोगे
300,1.0,1.4,1.4.60,गतिश्च
301,1.0,1.4,1.4.61,ऊर्यादिच्विडाचश्च
302,1.0,1.4,1.4.62,अनुकरणं चानितिपरम्
303,1.0,1.4,1.4.63,आदरानादरयोः सदसती
304,1.0,1.4,1.4.64,भूषणेऽलम्
305,1.0,1.4,1.4.65,अन्तरपरिग्रहे
306,1.0,1.4,1.4.66,कणेमनसी श्रद्धाप्रतीघाते
307,1.0,1.4,1.4.67,पुरोऽव्ययम्
308,1.0,1.4,1.4.68,अस्तं च
309,1.0,1.4,1.4.69,अच्छ गत्यर्थवदेषु
310,1.0,1.4,1.4.70,अदोऽनुपदेशे
311,1.0,1.4,1.4.71,तिरोऽन्तर्द्धौ
312,1.0,1.4,1.4.72,विभाषा कृञि
313,1.0,1.4,1.4.73,उपाजेऽन्वाजे
314,1.0,1.4,1.4.74,साक्षात्प्रभृतीनि च
315,1.0,1.4,1.4.75,अनत्याधान उरसिमनसी
316,1.0,1.4,1.4.76,मध्येपदेनिवचने च
317,1.0,1.4,1.4.77,नित्यं हस्ते पाणावुपयमने
318,1.0,1.4,1.4.78,प्राध्वं बन्धने
319,1.0,1.4,1.4.79,जीविकोपनिषदावौपम्ये
320,1.0,1.4,1.4.80,ते प्राग्धातोः
321,1.0,1.4,1.4.81,छन्दसि परेऽपि
322,1.0,1.4,1.4.82,व्यवहिताश्च
323,1.0,1.4,1.4.83,कर्मप्रवचनीयाः
324,1.0,1.4,1.4.84,अनुर्लक्षणे
325,1.0,1.4,1.4.85,तृतीयाऽर्थे
326,1.0,1.4,1.4.86,हीने
327,1.0,1.4,1.4.87,उपोऽधिके च
328,1.0,1.4,1.4.88,अपपरी वर्जने
329,1.0,1.4,1.4.89,आङ् मर्यादावचने
330,1.0,1.4,1.4.90,लक्षणेत्थम्भूताख्यानभागवीप्सासु प्रतिपर्यनवः
331,1.0,1.4,1.4.91,अभिरभागे
332,1.0,1.4,1.4.92,प्रतिः प्रतिनिधिप्रतिदानयोः
333,1.0,1.4,1.4.93,अधिपरी अनर्थकौ
334,1.0,1.4,1.4.94,सुः पूजायाम्
335,1.0,1.4,1.4.95,अतिरतिक्रमणे च
336,1.0,1.4,1.4.96,अपिः पदार्थसम्भावनान्ववसर्गगर्हासमुच्चयेषु
337,1.0,1.4,1.4.97,अधिरीश्वरे
338,1.0,1.4,1.4.98,विभाषा कृञि
339,1.0,1.4,1.4.99,लः परस्मैपदम्
340,1.0,1.4,1.4.100,तङानावात्मनेपदम्
341,1.0,1.4,1.4.101,तिङस्त्रीणि त्रीणि प्रथममध्यमोत्तमाः
342,1.0,1.4,1.4.102,तान्येकवचनद्विवचनबहुवचनान्येकशः
343,1.0,1.4,1.4.103,सुपः
344,1.0,1.4,1.4.104,विभक्तिश्च
345,1.0,1.4,1.4.105,युष्मद्युपपदे समानाधिकरणे स्थानिन्यपि मध्यमः
346,1.0,1.4,1.4.106,प्रहासे च मन्योपपदे मन्यतेरुत्तम एकवच्च
347,1.0,1.4,1.4.107,अस्मद्युत्तमः
348,1.0,1.4,1.4.108,शेषे प्रथमः
349,1.0,1.4,1.4.109,परः संनिकर्षः संहिता
350,1.0,1.4,1.4.110,विरामोऽवसानम्
351,2.0,2.1,2.1.1,समर्थः पदविधिः
352,1.0,2.1,2.1.2,सुबामन्त्रिते पराङ्गवत्‌ स्वरे
353,2.0,2.1,2.1.3,प्राक् कडारात्‌ समासः
354,2.0,2.1,2.1.4,सह सुपा
355,2.0,2.1,2.1.5,अव्ययीभावः
356,2.0,2.1,2.1.6,अव्ययं विभक्तिसमीपसमृद्धिव्यृद्ध्यर्थाभावात्ययासम्प्रतिशब्दप्रादुर्भावपश्चाद्यथाऽऽनुपूर्व्ययौगपद्यसादृश्यसम्पत्तिसाकल्यान्तवचनेषु
357,2.0,2.1,2.1.7,यथाऽसादृये
358,2.0,2.1,2.1.8,यावदवधारणे
359,2.0,2.1,2.1.9,सुप्प्रतिना मात्राऽर्थे
360,2.0,2.1,2.1.10,अक्षशलाकासंख्याः परिणा
361,2.0,2.1,2.1.11,विभाषा
362,2.0,2.1,2.1.12,अपपरिबहिरञ्चवः पञ्चम्या
363,2.0,2.1,2.1.13,आङ् मर्यादाऽभिविध्योः
364,2.0,2.1,2.1.14,लक्षणेनाभिप्रती आभिमुख्ये
365,2.0,2.1,2.1.15,अनुर्यत्समया
366,2.0,2.1,2.1.16,यस्य चायामः
367,2.0,2.1,2.1.17,तिष्ठद्गुप्रभृतीनि च
368,2.0,2.1,2.1.18,पारे मध्ये षष्ठ्या वा
369,2.0,2.1,2.1.19,संख्या वंश्येन
370,2.0,2.1,2.1.20,नदीभिश्च
371,2.0,2.1,2.1.21,अन्यपदार्थे च संज्ञायाम्‌
372,2.0,2.1,2.1.22,तत्पुरुषः
373,2.0,2.1,2.1.23,द्विगुश्च
374,2.0,2.1,2.1.24,द्वितीया श्रितातीतपतितगतात्यस्तप्राप्तापन्नैः
375,2.0,2.1,2.1.25,स्वयं क्तेन
376,2.0,2.1,2.1.26,खट्वा क्षेपे
377,2.0,2.1,2.1.27,सामि
378,2.0,2.1,2.1.28,कालाः
379,2.0,2.1,2.1.29,अत्यन्तसंयोगे च
380,2.0,2.1,2.1.30,तृतीया तत्कृतार्थेन गुणवचनेन
381,2.0,2.1,2.1.31,पूर्वसदृशसमोनार्थकलहनिपुणमिश्रश्लक्ष्णैः
382,2.0,2.1,2.1.32,कर्तृकरणे कृता बहुलम्‌
383,2.0,2.1,2.1.33,कृत्यैरधिकार्थवचने
384,2.0,2.1,2.1.34,अन्नेन व्यञ्जनम्‌
385,2.0,2.1,2.1.35,भक्ष्येण मिश्रीकरणम्‌
386,2.0,2.1,2.1.36,चतुर्थी तदर्थार्थबलिहितसुखरक्षितैः
387,2.0,2.1,2.1.37,पञ्चमी भयेन
388,2.0,2.1,2.1.38,अपेतापोढमुक्तपतितापत्रस्तैरल्पशः
389,2.0,2.1,2.1.39,स्तोकान्तिकदूरार्थकृच्छ्राणि क्तेन
390,2.0,2.1,2.1.40,सप्तमी शौण्डैः
391,2.0,2.1,2.1.41,सिद्धशुष्कपक्वबन्धैश्च
392,2.0,2.1,2.1.42,ध्वाङ्क्षेण क्षेपे
393,2.0,2.1,2.1.43,कृत्यैर्ऋणे
394,2.0,2.1,2.1.44,संज्ञायाम्‌
395,2.0,2.1,2.1.45,क्तेनाहोरात्रावयवाः
396,2.0,2.1,2.1.46,तत्र
397,2.0,2.1,2.1.47,क्षेपे
398,2.0,2.1,2.1.48,पात्रेसमितादयश्च
399,2.0,2.1,2.1.49,पूर्वकालैकसर्वजरत्पुराणनवकेवलाः समानाधिकरणेन
400,2.0,2.1,2.1.50,दिक्संख्ये संज्ञायाम्‌
401,2.0,2.1,2.1.51,तद्धितार्थोत्तरपदसमाहारे च
402,2.0,2.1,2.1.52,संख्यापूर्वो द्विगुः
403,2.0,2.1,2.1.53,कुत्सितानि कुत्सनैः
404,2.0,2.1,2.1.54,पापाणके कुत्सितैः
405,2.0,2.1,2.1.55,उपमानानि सामान्यवचनैः
406,2.0,2.1,2.1.56,उपमितं व्याघ्रादिभिः सामान्याप्रयोगे
407,2.0,2.1,2.1.57,विशेषणं विशेष्येण बहुलम्‌
408,2.0,2.1,2.1.58,पूर्वापरप्रथमचरमजघन्यसमानमध्यमध्यमवीराश्च
409,2.0,2.1,2.1.59,श्रेण्यादयः कृतादिभिः
410,2.0,2.1,2.1.60,क्तेन नञ्विशिष्टेनानञ्
